Season Number,Startup Name,Industry_Cleaned,Pitchers City,Pitchers State,Pitchers Average Age,Gross Margin,Net Margin,Yearly Revenue_M_INR,Monthly Sales_M_INR,Original Ask Amount_M_INR,Valuation Requested_M_INR,Total Deal Amount_M_INR,Deal Valuation_M_INR,Total Deal Equity,Total Deal Debt_M_INR,Royalty Percentage,Number of Sharks in Deal,Deal_Success_Flag,Received Offer,Accepted Offer,Number of Presenters,Male Presenters,Female Presenters,Couple Presenters,Founder_Type,Namita Investment Amount_M_INR,Vineeta Investment Amount_M_INR,Anupam Investment Amount_M_INR,Aman Investment Amount_M_INR,Peyush Investment Amount_M_INR,Ritesh Investment Amount_M_INR,Amit Investment Amount_M_INR,Guest Investment Amount_M_INR
2,ForeverModest,Beauty/Fashion,Aurangabad,Maharashtra,Young,,,0.0,0.42000000000000004,2.0,20.0,2.0,10.0,20.0,0.0,,4.0,1,1,1.0,1,,1.0,0,Female Team,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0
2,Sahayatha,Medical/Health,Coimbatore,Tamil Nadu,Young,,,0.0,0.0,10.0,100.0,10.0,100.0,10.0,0.0,,5.0,1,1,1.0,1,,1.0,0,Female Team,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0
2,WickedGud,F&B,Mumbai,Maharashtra,Middle,,,0.0,0.0,5.0,500.0,0.0,0.0,,0.0,,,0,0,,3,3.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,maisha,Beauty/Fashion,Ahmedabad,Gujarat,Middle,,,0.0,0.0,7.5,250.0,1.0,100.0,1.0,6.5,,1.0,1,1,1.0,3,2.0,1.0,0,Mixed Team,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,NishHair,Beauty/Fashion,Mumbai,Maharashtra,Middle,,30.0,67.0,8.0,10.0,500.0,10.0,500.0,2.0,0.0,,1.0,1,1,1.0,1,,1.0,0,Female Team,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
2,MYBYK,Vehicles/Electrical Vehicles,Ahmedabad,Gujarat,Middle,,,0.0,0.0,20.0,2000.0,0.0,0.0,,0.0,,,0,0,,1,1.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,GODESi,F&B,Bangalore,Karnataka,Middle,,,0.0,27.0,9.0,1800.0,0.0,0.0,,0.0,,,0,1,0.0,2,1.0,1.0,0,Mixed Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,TAC,Beauty/Fashion,Mumbai,Maharashtra,Middle,,,0.0,0.0,15.0,3000.0,8.1,810.0,1.0,6.9,,2.0,1,1,1.0,2,1.0,1.0,1,Mixed Team,0.0,0.0,0.0,4.05,0.0,0.0,0.0,4.05
2,Naara-Aaba,Other,Ziro,Arunachal Pradesh,Middle,50.0,18.0,0.0,0.0,7.5,300.0,5.0,100.0,5.0,2.5,,2.0,1,1,1.0,2,1.0,1.0,1,Mixed Team,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5
2,StyloBug,Beauty/Fashion,Delhi,Delhi,Middle,,18.0,140.0,4.6,8.0,400.0,8.0,80.0,10.0,0.0,,1.0,1,1,1.0,2,1.0,1.0,0,Mixed Team,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
2,ZenOnco,Medical/Health,Jodhpur,Rajasthan,Middle,,,0.0,2.1,10.0,1000.0,0.0,0.0,,0.0,,,0,1,0.0,2,1.0,1.0,0,Mixed Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,HonestHome,Other,Dhampur,Uttar Pradesh,Middle,,5.0,140.0,14.2,10.0,500.0,10.0,333.3333333,3.0,0.0,1.0,1.0,1,1,1.0,1,1.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
3,AdilQadri,Beauty/Fashion,Bilimora,Gujarat,Young,70.0,,207.0,60.0,10.0,2000.0,10.0,1000.0,1.0,0.0,1.0,1.0,1,1,1.0,1,1.0,,0,Male Team,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ConsciousChemist,Beauty/Fashion,Jaipur,Rajasthan,Middle,,,45.0,8.5,6.0,300.0,0.0,0.0,,0.0,,,0,0,,2,2.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,TheCinnamonKitchen,F&B,Chandigarh,Punjab,Middle,,,8.2,0.0,6.0,300.0,6.0,120.0,5.0,0.0,,1.0,1,1,1.0,1,,1.0,0,Female Team,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
3,WtfGyms,Business Services,Noida,Uttar Pradesh,Middle,,,0.0,6.5,10.0,500.0,0.0,0.0,,0.0,,,0,0,,2,1.0,1.0,1,Mixed Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
